,DISTRCT_CD,DISTRCT_NAME,YR,FDR_MECO,NO_CUSTS_SVD
113,1,Central,2003,05_01_304W99,0.0
114,1,Central,2003,05_01_325J2,0.0
115,1,Central,2003,05_01_325J3,0.0
116,1,Central,2003,05_01_326J1,0.0
117,1,Central,2003,05_01_328J1,0.0
118,1,Central,2003,05_01_328J2,353.0
119,1,Central,2003,05_01_34,0.0
120,1,Central,2003,05_01_35,0.0
121,1,Central,2003,05_01_3J341,776.75
122,1,Central,2003,05_01_3J371,720.9166666666666
123,1,Central,2003,05_01_3J372,666.5833333333334
124,1,Central,2003,05_01_3J373,1461.75
125,1,Central,2003,05_01_3J374,1177.5
126,1,Central,2003,05_01_3J375,658.1666666666666
127,1,Central,2003,05_01_401H7,0.0
128,1,Central,2003,05_01_401H8,0.0
129,1,Central,2003,05_01_401L99,0.0
130,1,Central,2003,05_01_405M1,0.0
131,1,Central,2003,05_01_405M2,0.0
132,1,Central,2003,05_01_406L1,2023.25
133,1,Central,2003,05_01_406L2,2079.8333333333335
134,1,Central,2003,05_01_406L3,2487.0
135,1,Central,2003,05_01_406L4,1396.5
136,1,Central,2003,05_01_408L1,1318.25
137,1,Central,2003,05_01_408L2,846.5
138,1,Central,2003,05_01_412L1,1440.0833333333333
139,1,Central,2003,05_01_412L2,2398.4166666666665
140,1,Central,2003,05_01_412L3,1352.9166666666667
141,1,Central,2003,05_01_412L4,2674.5
142,1,Central,2003,05_01_412L5,3808.5833333333335
143,1,Central,2003,05_01_412L6,2193.25
144,1,Central,2003,05_01_413L1,3296.0
145,1,Central,2003,05_01_413L11,0.0
146,1,Central,2003,05_01_413L2,1724.5833333333333
147,1,Central,2003,05_01_413L3,2673.9166666666665
148,1,Central,2003,05_01_414L1,0.0
149,1,Central,2003,05_01_415L1,3011.75
150,1,Central,2003,05_01_415L2,2040.0
151,1,Central,2003,05_01_415L3,1256.25
152,1,Central,2003,05_01_435T123,0.0
153,1,Central,2003,05_01_4J324,712.5
154,1,Central,2003,05_01_4J336,467.25
155,1,Central,2003,05_01_4J338,304.3333333333333
156,1,Central,2003,05_01_4J339,1080.4166666666667
157,1,Central,2003,05_01_4J340,298.1666666666667
158,1,Central,2003,05_01_4J348,265.75
159,1,Central,2003,05_01_525L1,1624.5
160,1,Central,2003,05_01_525L2,3684.5833333333335
161,1,Central,2003,05_01_525L99,0.0
162,1,Central,2003,05_01_552L1,4652.333333333333
163,1,Central,2003,05_01_552L3,1142.6666666666667
164,1,Central,2003,05_01_601J3,636.5833333333334
165,1,Central,2003,05_01_601J4,1078.5833333333333
166,1,Central,2003,05_01_601J6,603.25
167,1,Central,2003,05_01_601J7,988.0833333333334
168,1,Central,2003,05_01_601J8,441.3333333333333
169,1,Central,2003,05_01_601W1,2173.25
170,1,Central,2003,05_01_601W2,273.0
171,1,Central,2003,05_01_601W3,438.4166666666667
172,1,Central,2003,05_01_601W4,1093.75
173,1,Central,2003,05_01_601W99,0.0
174,1,Central,2003,05_01_602W1,433.0833333333333
175,1,Central,2003,05_01_602W2,3523.0833333333335
176,1,Central,2003,05_01_602W3,2.0
177,1,Central,2003,05_01_605W1,2713.4166666666665
178,1,Central,2003,05_01_605W99,0.0
179,1,Central,2003,05_01_609W1,1923.5833333333333
180,1,Central,2003,05_01_609W2,476.8333333333333
181,1,Central,2003,05_01_609W99,0.0
182,1,Central,2003,05_01_610W3,425.5833333333333
183,1,Central,2003,05_01_612W1,2152.0833333333335
184,1,Central,2003,05_01_612W3,1507.5
185,1,Central,2003,05_01_612W99,0.0
186,1,Central,2003,05_01_615H1,0.0
187,1,Central,2003,05_01_6J304,562.75
