SOURCE_IND,STATE_NAME,COMPANY_NAME,BRKR_DISTRICT_CODE,BRKR_DISTRICT_NAME,BRKR_TAX_DIST_CODE,BRKR_TAX_DIST_NAME,SUBSTATION_ID,SUBSTATION_NAME,SUB_NUMBER,MASTER_CDF,FEEDER_NUMBER,OPERATING_VOLTAGE,EFFECTIVE_KV_CLASS,CIRCUIT_USE,CONSTRUCTION_CLASS,TOT_CKT_LNGTH_FT,TOT_CKT_LNGTH_MI,TOT_OH_LNGTH_FT,TOT_OH_LNGTH_MI,TOT_UG_LNGTH_FT,TOT_UG_LNGTH_MI,TOT_3PHS_LNGTH_FT,TOT_3PHS_OH_LNGTH_FT,TOT_3PHE_UG_LNGTH_FT,TOT_5KV_LNGTH_FT,TOT_5KV_OH_3PHS_LNGTH_FT,TOT_5KV_OH_LNGTH,TOT_5KV_OH_OT_LNGTH_FT,TOT_5KV_UG_3PHS_LNGTH_FT,TOT_5KV_UG_OT_LNGTH_FT,TOT_15KV_LNGTH_FT,TOT_15KV_OH_3_PHS_LNGTH_FT,TOT_15KV_OH_LNGTH_FT,TOT_15KV_OH_OT_LNGTH_FT,TOT_15KV_UG_3PHS_LNGTH_FT,TOT_15KV_UG_OT_LNGTH_FT,TOT_OVR15KV_LNGTH_FT,TOT_OVR15KV_OH_3PHS_LNGTH_FT,TOT_OVR15KV_OH_LNGTH,TOT_OVR15KV_OH_OT_LNGTH_FT,TOT_OVR15KV_UG_3PHS_LNGTH_FT,TOT_OVR15KV_UG_OT_LNGTH_FT,CUSTOMERS_SERVED,BREAKER_SETTING,TRA_NOM_CA,SUB_NOM_VOLTGE,SUB_TAX_DIST,EAP_SUB_ID,SUB_STR_ADDRESS,STA_CONFIG,STA_REGLTN,SUB_LONG,SUB_LAT,SUB_GPS_DATE,TBL_LOAD_DATE
NE,Massachusetts,Massachusetts Electric,05,Southeast,0262,Fall River,13581420,BATES ST. SUB,115,05_05_115W43,115W43,13.8,15000.0,Distribution,OH,42159.0,7.98,37472.0,7.1000000000000005,4687.0,0.89,25671.0,20984.0,4687.0,0.0,0.0,0.0,0.0,0.0,0.0,42159.0,20984.0,37472.0,16488.0,4687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2717.0,,0.0,0.0,0262,05-0115,"57 BATES ST, FALL RIVER, MA",,,-71.167824,41.67984,,2019-07-23 04:16:29
NE,Massachusetts,Massachusetts Electric,05,Southeast,0262,Fall River,13581420,BATES ST. SUB,115,05_05_115W44,115W44,13.8,15000.0,Distribution,Mixed,69658.0,13.19,24734.0,4.68,44924.0,8.51,59363.0,14776.0,44587.0,0.0,0.0,0.0,0.0,0.0,0.0,69658.0,14776.0,24734.0,9958.0,44587.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,2671.0,,0.0,0.0,0262,05-0115,"57 BATES ST, FALL RIVER, MA",,,-71.167824,41.67984,,2019-07-23 04:16:29
NE,Massachusetts,Massachusetts Electric,05,Southeast,0262,Fall River,13581420,BATES ST. SUB,115,05_05_115W45,115W45,13.8,15000.0,Distribution,OH,42576.0,8.06,36701.0,6.95,5875.0,1.11,28032.0,23900.0,4132.0,0.0,0.0,0.0,0.0,0.0,0.0,42450.0,23774.0,36575.0,12801.0,4132.0,1743.0,0.0,0.0,0.0,0.0,0.0,0.0,1085.0,,0.0,0.0,0262,05-0115,"57 BATES ST, FALL RIVER, MA",,,-71.167824,41.67984,,2019-07-23 04:16:29
NE,Massachusetts,Massachusetts Electric,05,Southeast,0262,Fall River,13581420,BATES ST. SUB,115,05_05_115W51,115W51,13.8,15000.0,Distribution,OH,10578.0,2.0,10578.0,2.0,0.0,0.0,10578.0,10578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10578.0,10578.0,10578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0262,05-0115,"57 BATES ST, FALL RIVER, MA",,,-71.167824,41.67984,,2019-07-23 04:16:29
NE,Massachusetts,Massachusetts Electric,05,Southeast,0262,Fall River,13581420,BATES ST. SUB,115,05_05_115W52,115W52,13.8,15000.0,Distribution,OH,349618.0,66.22,304160.0,57.61,45458.0,8.61,130346.0,121478.0,8868.0,0.0,0.0,0.0,0.0,0.0,0.0,349618.0,121478.0,304160.0,182682.0,8868.0,36590.0,0.0,0.0,0.0,0.0,0.0,0.0,3813.0,,0.0,0.0,0262,05-0115,"57 BATES ST, FALL RIVER, MA",,,-71.167824,41.67984,,2019-07-23 04:16:29
NE,Massachusetts,Massachusetts Electric,05,Southeast,0262,Fall River,13581420,BATES ST. SUB,115,05_05_115W53,115W53,13.8,15000.0,Distribution,OH,111987.0,21.21,100434.0,19.02,11553.0,2.19,53330.0,44003.0,9327.0,2702.0,104.0,1058.0,954.0,643.0,1001.0,109285.0,43899.0,99376.0,55477.0,8684.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,2137.0,,0.0,0.0,0262,05-0115,"57 BATES ST, FALL RIVER, MA",,,-71.167824,41.67984,,2019-07-23 04:16:29
NE,Massachusetts,Massachusetts Electric,05,Southeast,0262,Fall River,13581420,BATES ST. SUB,115,05_05_115W54,115W54,13.8,15000.0,Distribution,OH,60636.0,11.48,54502.0,10.32,6134.0,1.16,36923.0,31198.0,5725.0,546.0,290.0,290.0,0.0,256.0,0.0,60090.0,30908.0,54212.0,23304.0,5469.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,5297.0,,0.0,0.0,0262,05-0115,"57 BATES ST, FALL RIVER, MA",,,-71.167824,41.67984,,2019-07-23 04:16:29
NE,Massachusetts,Massachusetts Electric,05,Southeast,0262,Fall River,13581420,BATES ST. SUB,115,05_05_115W55,115W55,13.8,15000.0,Distribution,Mixed,44757.0,8.48,31892.0,6.04,12865.0,2.44,28699.0,19871.0,8828.0,0.0,0.0,0.0,0.0,0.0,0.0,41242.0,17875.0,28377.0,10502.0,8828.0,4037.0,0.0,0.0,0.0,0.0,0.0,0.0,1299.0,,0.0,0.0,0262,05-0115,"57 BATES ST, FALL RIVER, MA",,,-71.167824,41.67984,,2019-07-23 04:16:29
NE,Massachusetts,Massachusetts Electric,05,Southeast,0262,Fall River,13581424,SYKES RD. SUB,521,05_05_28W40,28W40,13.8,15000.0,Distribution,Mixed,108206.0,20.490000000000002,85537.0,16.2,22669.0,4.29,54952.0,39114.0,15838.0,7741.0,266.0,266.0,0.0,7475.0,0.0,100465.0,38848.0,85271.0,46423.0,8363.0,6831.0,0.0,0.0,0.0,0.0,0.0,0.0,2474.0,,0.0,0.0,0262,05-0028,"521 SYKES RD, FALL RIVER, MA",,,-71.115273,41.740444,,2019-07-23 04:16:29
NE,Massachusetts,Massachusetts Electric,05,Southeast,0262,Fall River,13581424,SYKES RD. SUB,521,05_05_28W41,28W41,13.8,15000.0,Distribution,Mixed,16772.0,3.18,11951.0,2.2600000000000002,4821.0,0.91,16772.0,11951.0,4821.0,0.0,0.0,0.0,0.0,0.0,0.0,16772.0,11951.0,11951.0,0.0,4821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,,0.0,0.0,0262,05-0028,"521 SYKES RD, FALL RIVER, MA",,,-71.115273,41.740444,,2019-07-23 04:16:29
